index,node,cnt
1352,108718,2
1353,108785,2
1354,108755,2
1355,108760,2
1356,108639,2
1357,108730,2
1358,793952,2
1359,108729,2
1360,103487,2
1361,145641,2
1362,108772,2
1363,2386480,2
1364,109476,2
1365,109136,2
1366,104009,2
1367,108846,2
1368,108781,2
1369,108762,2
1370,108830,2
1371,108850,2
1372,794048,2
1373,108752,2
1374,108775,2
1375,103915,2
1376,108863,2
1377,108856,2
1378,103933,2
1379,109101,2
1380,109432,2
1381,145677,2
1382,1876220,2
1383,108893,2
1384,107610,2
1385,107539,2
1386,103740,2
1387,104972,2
1388,105904,2
1389,1741,2
1390,106021,2
1391,105837,2
1392,105860,2
1393,105728,2
1394,105703,2
1395,105917,2
1396,88804,2
1397,105690,2
1398,108782,2
1399,104977,2
1400,108497,2
1401,108431,2
1402,2390269,2
1403,145896,2
1404,107542,2
1405,106290,2
1406,2620957,2
1407,106208,2
1408,104906,2
1409,106197,2
1410,106167,2
1411,106192,2
1412,106078,2
1413,1955969,2
1414,104948,2
1415,106084,2
1416,104802,2
1417,106071,2
1418,145875,2
1419,106022,2
1420,105018,2
1421,108017,2
1422,107034,2
1423,105525,2
1424,105537,2
1425,105079,2
1426,105103,2
1427,105131,2
1428,105545,2
1429,105170,2
1430,105355,2
1431,4068549,2
1432,101989,2
1433,105176,2
1434,105408,2
1435,105303,2
1436,1549029,2
1437,105256,2
1438,105187,2
1439,105857,2
1440,105807,2
1441,105595,2
1442,2555770,2
1443,110236,2
1444,105111,2
1445,109684,2
1446,110915,2
1447,109349,2
1448,105038,2
1449,110169,2
1450,110885,2
1451,110657,2
1452,110506,2
1453,110360,2
1454,109529,2
1455,104914,2
1456,106333,2
1457,106440,2
1458,145821,2
1459,107317,2
1460,107260,2
1461,2408703,2
1462,894919,2
1463,107261,2
1464,107325,2
1465,107197,2
1466,60314,2
1467,104496,2
1468,107199,2
1469,104557,2
1470,1144686,2
1471,107122,2
1472,107166,2
1473,107439,2
1474,107360,2
1475,107369,2
1476,107451,2
1477,107473,2
1478,107474,2
1479,104510,2
1480,107484,2
1481,107868,2
1482,281898,2
1483,107563,2
1484,107471,2
1485,338538,2
1486,107465,2
1487,107483,2
1488,1262428,2
1489,107540,2
1490,58372,2
1491,104579,2
1492,106357,2
1493,104808,2
1494,104655,2
1495,106530,2
1496,1168887,2
1497,145887,2
1498,106538,2
1499,106385,2
1500,106406,2
1501,107024,2
1502,106527,2
1503,106384,2
1504,106388,2
1505,105979,2
1506,106625,2
1507,106595,2
1508,106877,2
1509,106629,2
1510,106634,2
1511,106655,2
1512,106659,2
1513,1354339,2
1514,106707,2
